variable,value
majors_declared,"sample(1:3, 1, replace = T, prob = c(0.8, 0.15, 0.05))"
course_satisfaction,"runif(1, 3, 5)"
institution_satisfaction,"runif(1, 3, 5)"
mentorship_satisfaction,"runif(1, 2.75, 5)"
progress_satisfaction,"runif(1, 2.75, 5)"
current_gpa,"runif(1, 2.75, 4)"
distance_from_campus,"abs(round(rnorm(1, 9, 2)))"
rstudio_community_posts,"abs(round(rnorm(1, 15, 7)))"
blog_posts,"abs(round(rnorm(1, 15, 7)))"
has_repeated_courses,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.15, 0.85))"
user_group_member,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.90, 0.1))"
goal_setting,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.75, 0.25))"
exercise_routine,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.75, 0.25))"
sleep_7_hours,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.75, 0.25))"
has_morning_routine,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.75, 0.25))"
in_state,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.75, 0.25))"
scholarship,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.25, 0.75))"
full_time,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.8, 0.2))"
has_dependents,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.4, 0.6))"
has_opensource_contrib,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.6, 0.4))"
package_author,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.3, 0.7))"
conference_speaker,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.3, 0.7))"
eats_breakfast,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.8, 0.2))"
caffine_drinker,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.8, 0.2))"
meditation_routine,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.25, 0.75))"
snooze_alarm,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.6, 0.4))"
self_care_rituals,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.6, 0.4))"
hs_gpa,"runif(1, 2.75, 4)"
age,"abs(rnorm(1, 30, 5))"
twitter_user,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.6, 0.4))"
major,"sample(majors, 1, replace=TRUE, prob=c(0.25, 0.25, 0.1, 0.1, 0.3))"
minor,"sample(minors, 1, replace = TRUE)"
risk,No